id_rest,id_OSM_rest,name
lon_9.6953904_lat_50.5889326,way/367858768,Geißhecke
lon_9.7165998_lat_50.5758475,way/367969089,Rastplatz Rauschenberg
lon_9.6008842_lat_50.7612535,way/368338554,Rastplatz Richtgraben
lon_9.5552964_lat_50.7839373,way/368338556,Rastplatz Strampen
lon_12.8608997_lat_52.3180343,way/369212846,Caputh
lon_13.7976643_lat_52.4383976,way/369339890,Kranichberge
lon_13.704978_lat_52.3214486,way/369340175,Lankensee
lon_13.7073795_lat_52.3234317,way/369340176,Uckleysee
lon_13.1860148_lat_52.2996676,way/369342827,Siethener Elsbruch
lon_13.394675_lat_52.6763168,way/369381757,Parkplatz Schönwalde
lon_13.3912216_lat_52.6771222,way/369381758,
lon_12.8219803_lat_52.7663465,way/369955017,Am Rhinluch
lon_12.5509414_lat_53.0440047,way/369956109,
lon_12.5518272_lat_53.042607,way/369956110,
lon_13.8920938_lat_51.814936,way/370280686,Lichtenauer See - Lichtnojski jazor
lon_13.8992016_lat_51.7010657,way/370280799,
lon_11.2477836_lat_52.1980946,way/372787574,Lorkberg Süd
lon_11.2481831_lat_52.1991827,way/372787575,Lorkberg Nord
lon_10.8447017_lat_52.3053945,way/374048286,Uhry
lon_10.7014522_lat_52.3068605,way/374048397,Essehof Süd
lon_8.6692184_lat_50.618922,way/374597357,Gleiberger Land
lon_8.165554_lat_52.9134371,way/374656181,Ahlhorn
lon_8.1656279_lat_52.9117566,way/374656182,Ahlhorn
lon_10.8562049_lat_54.1557257,way/376559797,Hasselburger Mühle
lon_8.1094233_lat_52.5785402,way/376576670,Fladderlohhausen
lon_8.110306_lat_52.5754054,way/376576671,Holdorf
lon_8.0944079_lat_52.511622,way/376577812,Neuenkirchen
lon_8.0932141_lat_52.5099163,way/376577813,Clemens-August-Dorf
lon_8.310856_lat_50.0263363,way/376750246,Zur alten Römerstraße
lon_7.1091394_lat_52.3359631,way/376761956,Waldseite Süd
lon_8.2912876_lat_50.1706652,way/376771099,Theißtal
lon_8.2958812_lat_50.1651148,way/376771100,Theißtal
lon_8.9921725_lat_50.0032275,way/376776414,Mainhausen
lon_8.990713_lat_50.0031845,way/376776415,Mainhausen
lon_9.3762358_lat_54.7490204,way/376781663,Altholzkrug
lon_10.1924796_lat_52.0579861,way/376783192,Jägerturm Ost
lon_10.1921974_lat_52.0597398,way/376783193,Jägerturm West
lon_10.2941836_lat_53.8901124,way/376793493,Bebenseer Moor
lon_10.2940174_lat_53.8904229,way/376793494,Schwisseler Kamp
lon_9.4784635_lat_54.0053378,way/377030693,Kaaksburg
lon_9.4792901_lat_54.0062045,way/377030695,Kaaksburg
lon_9.2098035_lat_50.1951851,way/438290945,Kinzigtal
lon_8.4125929_lat_50.6132695,way/442112278,Lemper Berg
lon_11.4856603_lat_51.7805949,way/443970641,Hasenwinkel
lon_11.4857212_lat_51.7803271,way/443970642,Hasenwinkel
lon_10.8830203_lat_51.8398105,way/443970643,Regensteinblick
lon_11.5855061_lat_52.0606307,way/444633876,Sülzegrund
lon_11.5846515_lat_52.0604543,way/444633877,Sülzegrund
lon_8.1131885_lat_53.389612,way/460921932,
lon_10.0897595_lat_51.8052249,way/475503445,
lon_8.0660646_lat_53.2096514,way/476972666,Haltsteder Bäke
lon_8.0697116_lat_53.2090872,way/476972697,
lon_8.5981794_lat_53.034872,way/478639452,
lon_9.6083236_lat_52.8247706,way/478847305,Düshorn
lon_9.5894869_lat_54.4432916,way/479915950,Lottorf
lon_8.4826799_lat_50.0038695,way/481191806,Neuhöfer Tann
lon_8.4872997_lat_50.0061725,way/481191807,Hohe Wart
lon_9.9496082_lat_53.0490828,way/493475281,Timmerloh
lon_10.0219933_lat_53.1474029,way/493780057,Auegrund
lon_10.0880844_lat_53.254075,way/494548758,Utspann
lon_10.0771629_lat_53.2925598,way/494549989,Eichberg
lon_9.9969879_lat_53.1357379,way/494992585,Vorm Naturschutzpark
lon_9.7140608_lat_52.6397167,way/496189215,Südhorn
lon_7.2544308_lat_52.9241632,way/514002514,Walchum-Ost
lon_7.1723831_lat_52.7953751,way/514002527,Rastplatz Hebel
lon_9.3286652_lat_54.8045491,way/518873223,Ellund
lon_9.7581285_lat_52.5049195,way/585552112,Rastplatz Bissendorf Nord
lon_8.324182_lat_50.6472087,way/608222579,Rastplatz Hohenrain
lon_8.324524_lat_50.6450633,way/608222580,Rastplatz Ebersbach
lon_8.5415272_lat_49.8947103,way/685351861,Büttelborn Nord
lon_8.2028282_lat_52.2243557,way/704772839,Rottkamp-Nord
lon_8.1997168_lat_52.2249111,way/704772840,Rottkamp Süd
lon_8.6168768_lat_50.5273434,way/722391611,Pfaffenpfad
lon_13.7994366_lat_52.4570641,way/736652625,Kalkberge
lon_8.6024977_lat_49.6962206,way/739432484,Parkplatz Scheidweg
lon_7.1913537_lat_52.6347607,way/746128010,Heseper Moor Ost
lon_7.1908361_lat_52.6363967,way/746128011,Heseper Moor West
lon_13.5622182_lat_52.3790797,way/769777309,
lon_13.5617962_lat_52.376454,way/769777310,
lon_8.1506512_lat_50.7729109,way/816288542,Rastplatz Kalteiche
lon_8.1514665_lat_50.7732654,way/816288543,Rastplatz Am Wildenstein
lon_8.2810761_lat_50.7241346,way/816288565,Rastplatz Gaulskopf
lon_8.2881044_lat_50.7075757,way/816288567,Rastplatz Burger Hain
lon_8.2885542_lat_50.6684857,way/816288575,Rastplatz Am Rehberg
lon_9.8191407_lat_52.4272417,way/816723677,Varrelheide
lon_8.1719914_lat_50.7599376,way/820231569,Am Borbelholz
lon_7.2526746_lat_52.9419091,way/839676611,Walchum West
lon_13.5128574_lat_52.6185225,way/850411572,Kappgraben Nord
lon_13.5093849_lat_52.6184258,way/850506985,Kappgraben Süd
lon_8.6293369_lat_49.6096602,way/959859681,
lon_9.3211064_lat_54.0687246,way/986207555,
lon_9.323161_lat_54.0686721,way/986207556,Nord-Ostsee-Kanal
lon_8.3300319_lat_53.0714671,way/986308438,Rastplatz Hemmelsberg
lon_8.5494019_lat_49.6964652,way/992004893,Jägersburger Wald
lon_8.5503184_lat_49.6951599,way/992004894,Forsthaus
lon_7.2459984_lat_52.3914582,way/1024211059,Rastplatz Bergler Feld Ost
lon_7.2465958_lat_52.3950579,way/1024211060,Rastplatz Bergler Feld West
lon_8.5358385_lat_49.5561227,way/1075944398,Rennschlag
lon_8.4350744_lat_50.607106,way/1104993376,Park und Rastplatz Am Behlkopf
lon_8.6089092_lat_49.5422193,way/1172007491,
