id_rest,id_OSM_rest,name,bbox
lon_11.0467665_lat_51.4688222,way/162054996,Goldene Aue,"[11.04026678482721, 51.4653874584927, 11.047462156987091, 51.469881548715286]"
lon_11.2298121_lat_51.4520557,way/162056057,Helmetal,"[11.225403164660168, 51.44863229601552, 11.232596102457695, 51.45312639817393]"
lon_11.225695_lat_51.4521931,way/162056063,Helmetal,"[11.224411184234121, 51.45068016261961, 11.231603984932555, 51.45517426545059]"
lon_11.721026_lat_51.4012188,way/162057690,Querfurter Platte Nord,"[11.71676471193706, 51.39967033264299, 11.723949616614203, 51.40416447427474]"
lon_11.997727_lat_51.2571166,way/162058211,Saaletal,"[11.995972599322382, 51.25353703733557, 12.003134865135806, 51.25803129092931]"
lon_9.7800847_lat_51.3955138,way/162095820,Hackelberg,"[9.777287625768686, 51.39178085184203, 9.784471647447326, 51.39627499782079]"
lon_9.4159061_lat_51.2721518,way/162096487,Baunsberg,"[9.41067874854477, 51.27057677021066, 9.417843395010555, 51.27507101198055]"
lon_11.0524687_lat_52.2204778,way/162392659,Waldkater,"[11.050805150066756, 52.217405768476, 11.058121432685764, 52.22189928083922]"
lon_9.2953023_lat_51.3111859,way/162393060,Hundsberg,"[9.290389572462459, 51.30876247193206, 9.297560470923706, 51.31325668270683]"
lon_9.2831674_lat_51.3432322,way/162394515,Rohrberg,"[9.282412385482713, 51.33944944415291, 9.289588029624477, 51.34394363145461]"
lon_9.1405642_lat_51.4446215,way/162406283,Unter den Buchen,"[9.13975262833303, 51.44171255148337, 9.146944137516849, 51.446206660652024]"
lon_9.6038325_lat_51.3476078,way/163685727,Staufenberg,"[9.601571170795149, 51.34645162897169, 9.608747896192247, 51.35094581093183]"
lon_10.1268892_lat_51.8569148,way/167989093,Schwalenberg-Ost,"[10.122254919577864, 51.85360570270971, 10.129512002361539, 51.85809949437878]"
lon_10.1230601_lat_51.8561527,way/167989110,Schwalenberg-West,"[10.120632082813064, 51.85366101823475, 10.127889186356636, 51.85815480980466]"
lon_10.9814416_lat_54.3623714,way/170362889,Ostseeblick,"[10.979947759120648, 54.35953848057539, 10.987639431483931, 54.36403036988465]"
lon_10.9810513_lat_54.3627005,way/170362890,Ostseeblick,"[10.976790067661799, 54.36159876480073, 10.984481866525002, 54.36609065360291]"
lon_14.2175841_lat_52.3368637,way/179313070,Kersdorfer See,"[14.217383878570647, 52.33472126011838, 14.224719331389426, 52.33921468348856]"
lon_14.222133_lat_52.3378744,way/179313071,Berliner Urstromtal,"[14.219562497216689, 52.33634403251383, 14.226898112908813, 52.3408374551309]"
lon_11.922428_lat_51.3459818,way/187165798,Geiseltal,"[11.920187000254424, 51.34365377680863, 11.927363401072627, 51.348147960371996]"
lon_11.9228882_lat_51.346147,way/187165800,Geiseltal,"[11.918503876970496, 51.343969647077884, 11.92568032538867, 51.34846383040611]"
lon_11.8732122_lat_50.759018,way/187418126,Rodaborn,"[11.867371568922241, 50.75503463355733, 11.87445748407568, 50.75952927272901]"
lon_9.2988549_lat_53.2031954,way/190348394,Glindbusch,"[9.293201188610002, 53.2000681806489, 9.300683582893495, 53.20456094452749]"
lon_9.2955316_lat_53.2000997,way/190348395,Glindbusch,"[9.295102348248077, 53.19873647203252, 9.302584649680826, 53.203229236315565]"
lon_9.4285484_lat_53.2538351,way/190667895,Hatzte,"[9.42430763465125, 53.253706430275706, 9.431799277128054, 53.2581991539457]"
lon_9.653454_lat_53.342582,way/191147682,Stellheide,"[9.653003161110528, 53.341170136990776, 9.660510271414589, 53.34566279374404]"
lon_9.6697291_lat_53.3475987,way/191150597,Stellheide,"[9.66751823443306, 53.34488446850161, 9.675026247221794, 53.349377121363375]"
lon_8.6078461_lat_49.9067102,way/201322817,Täubcheshöhle,"[8.607448054734263, 49.905182242748374, 8.614408599035926, 49.909677542921074]"
lon_8.6071636_lat_49.9067628,way/201322818,Brühlgraben,"[8.605872241440755, 49.90606457490825, 8.612832795275986, 49.910559875029314]"
lon_9.8233956_lat_52.5072277,way/201389697,Springhorst,"[9.822483737063191, 52.50421587094269, 9.82984738873379, 52.50870916467274]"
lon_9.1016757_lat_53.0145562,way/201628205,,"[9.098781944865978, 53.011237898753464, 9.10623187568982, 53.01573080496641]"
lon_9.4541541_lat_52.8865005,way/201732963,Hamwiede Süd,"[9.449047183816505, 52.885196838431305, 9.456475160633575, 52.889689841964355]"
