id_rest,id_OSM_rest,name,bbox
lon_12.140788_lat_52.2431929,way/276155317,Wüstenforst,"[12.137411172959101, 52.239161623753326, 12.144731231036989, 52.24365511853435]"
lon_10.0237836_lat_54.2450733,way/296533996,Rumohr,"[10.022763709299895, 54.24246432234215, 10.030433708287898, 54.24695629890046]"
lon_11.2429922_lat_51.3232808,way/296733499,PWC Hohe Schrecke West,"[11.241676697625499, 51.32313877443073, 11.24884970089004, 51.327632974788955]"
lon_8.6688465_lat_52.9984663,way/299600732,Rastplatz Kiekut-Nord,"[8.66185421439483, 52.99534832037751, 8.669301294155074, 52.99984123918015]"
lon_8.5969375_lat_50.0002998,way/307073504,Steingrund,"[8.594692123029152, 49.999846308782644, 8.601666318397807, 50.00434153524047]"
lon_10.3245839_lat_53.7345734,way/310668096,Rehbrook Ost,"[10.317890826750133, 53.73323125987775, 10.325467630647832, 53.737723620209465]"
lon_11.8481003_lat_50.875064,way/315653510,,"[11.847197449486199, 50.87173141217213, 11.854300954901916, 50.876225961403115]"
lon_12.149456_lat_52.2449316,way/343996763,Wüstenforst,"[12.143538751307819, 52.241595807992525, 12.15085910111625, 52.2460893014161]"
lon_11.7524542_lat_52.2277066,way/344903791,Krähenberge,"[11.751460686207198, 52.22534383646327, 11.75877825982772, 52.229837342811265]"
lon_11.7559379_lat_52.2272876,way/345043739,Krähenberge,"[11.750113490745024, 52.224273776919844, 11.757430950808322, 52.22876728379681]"
lon_13.3713665_lat_52.3078778,way/345589355,Jühnsdorfer Heide,"[13.365688280828705, 52.30737736429291, 13.373019112050196, 52.311870809053616]"
lon_11.9876903_lat_52.2359165,way/345604854,Ihlegrund,"[11.9825163892672, 52.23431066954305, 11.989835317363777, 52.238804169583496]"
lon_8.1151722_lat_53.3867215,way/346384624,,"[8.111416343889319, 53.38286583023717, 8.118930936955822, 53.3873584547674]"
lon_8.1468263_lat_53.2976569,way/346387923,Beckhauser Büsche,"[8.144803508632322, 53.29336832074828, 8.152302272639517, 53.29786101355756]"
lon_8.1467217_lat_53.2944936,way/346389741,Beckhauser Büsche,"[8.14120235707942, 53.294285030152274, 8.148701234402607, 53.29877772247121]"
lon_13.1937997_lat_52.3010565,way/347382087,Schieferberg,"[13.193512110303212, 52.30011134772728, 13.200841756422628, 52.30460479797964]"
lon_12.8531966_lat_52.3198213,way/347384277,Schwielowsee,"[12.84801479606459, 52.319129465800856, 12.855347649397277, 52.32362290119746]"
lon_9.0123215_lat_53.0517663,way/347961738,Thünen,"[9.010386874315092, 53.04805419979612, 9.01784327309343, 53.05254707750168]"
lon_10.3048543_lat_53.568087,way/347974088,Hahnenkoppel,"[10.300314033477768, 53.5657169211722, 10.30786084422148, 53.57020940806075]"
lon_10.3003947_lat_53.5683535,way/347974089,Hahnenkoppel,"[10.298402759593918, 53.5645965506945, 10.305949706697438, 53.56908903700425]"
lon_9.5552964_lat_50.7839373,way/368338556,Rastplatz Strampen,"[9.553513470145674, 50.78120322721899, 9.56060327289293, 50.78569784645512]"
lon_12.8608997_lat_52.3180343,way/369212846,Caputh,"[12.856363122995607, 52.31759973736133, 12.863695697196917, 52.32209317405009]"
lon_13.7976643_lat_52.4383976,way/369339890,Kranichberge,"[13.790860261959537, 52.43553842951648, 13.798212431213923, 52.4400317758545]"
lon_13.704978_lat_52.3214486,way/369340175,Lankensee,"[13.701446215573515, 52.3185228438265, 13.708779320929214, 52.323016278056585]"
lon_13.7073795_lat_52.3234317,way/369340176,Uckleysee,"[13.70242364679695, 52.32195270284017, 13.709756932273828, 52.3264461362366]"
lon_13.1860148_lat_52.2996676,way/369342827,Siethener Elsbruch,"[13.181799537242092, 52.296099668011905, 13.18912892313761, 52.300593119470484]"
lon_12.5905719_lat_53.0085503,way/369956047,Rossower Heide,"[12.586980909407803, 53.008187129907434, 12.594429930273243, 53.012680040136985]"
lon_12.6092758_lat_52.9913176,way/369956048,,"[12.60777206738083, 52.98947356655698, 12.615218144703812, 52.993966489789635]"
lon_13.8920938_lat_51.814936,way/370280686,Lichtenauer See - Lichtnojski jazor,"[13.89138042134987, 51.81225507667717, 13.898630988704651, 51.81674889950654]"
lon_11.2477836_lat_52.1980946,way/372787574,Lorkberg Süd,"[11.24406163838805, 52.19654482871378, 11.25137437719686, 52.2010383576053]"
lon_11.2481831_lat_52.1991827,way/372787575,Lorkberg Nord,"[11.243139086338012, 52.19837831160949, 11.2504520273462, 52.20287183955731]"
lon_10.8447017_lat_52.3053945,way/374048286,Uhry,"[10.838572640733641, 52.303159272316044, 10.845903109816991, 52.307652718754596]"
lon_10.7014522_lat_52.3068605,way/374048397,Essehof Süd,"[10.695223630112435, 52.30591229268147, 10.702554307970152, 52.3104057381527]"
lon_8.6692184_lat_50.618922,way/374597357,Gleiberger Land,"[8.665560182415055, 50.61634977229485, 8.672625349826708, 50.620844518420284]"
lon_8.165554_lat_52.9134371,way/374656181,Ahlhorn,"[8.163042653346013, 52.91233818724178, 8.17047542699852, 52.91683116943695]"
lon_8.1656279_lat_52.9117566,way/374656182,Ahlhorn,"[8.16558673805646, 52.908985067024524, 8.17301910298871, 52.91347805103619]"
lon_12.5174451_lat_52.3423742,way/375036119,Wendgräben,"[12.512015930504003, 52.33891863265098, 12.519352319906968, 52.34341205169125]"
lon_8.310856_lat_50.0263363,way/376750246,Zur alten Römerstraße,"[8.308039875582425, 50.02614773594668, 8.315017634241444, 50.030642943234476]"
lon_7.1091394_lat_52.3359631,way/376761956,Waldseite Süd,"[7.102875133221856, 52.331830205715235, 7.1102104108762685, 52.33632362989541]"
lon_8.2912876_lat_50.1706652,way/376771099,Theißtal,"[8.290192296210321, 50.16716748171244, 8.297190821756356, 50.17166257786177]"
lon_8.2958812_lat_50.1651148,way/376771100,Theißtal,"[8.292244515754282, 50.161445107423084, 8.299242235045119, 50.16594020786871]"
lon_9.3762358_lat_54.7490204,way/376781663,Altholzkrug,"[9.374686188633547, 54.74608975761793, 9.382450793692175, 54.75058135869371]"
lon_10.1924796_lat_52.0579861,way/376783192,Jägerturm Ost,"[10.189383871168554, 52.05611543550225, 10.196673843249206, 52.06060907115555]"
lon_10.1921974_lat_52.0597398,way/376783193,Jägerturm West,"[10.186941111453796, 52.05608865590324, 10.194230991228897, 52.06058229199144]"
lon_10.2941836_lat_53.8901124,way/376793493,Bebenseer Moor,"[10.2880202012513, 53.88969377422335, 10.295624983878625, 53.89418601785081]"
lon_10.2940174_lat_53.8904229,way/376793494,Schwisseler Kamp,"[10.288973128119192, 53.88907287577967, 10.296578013546693, 53.893565118980696]"
lon_8.4125929_lat_50.6132695,way/442112278,Lemper Berg,"[8.408271202480051, 50.61006470451705, 8.415335316671417, 50.61455945609707]"
lon_11.4856603_lat_51.7805949,way/443970641,Hasenwinkel,"[11.484860006262801, 51.77703273985857, 11.492104974885498, 51.78152658953158]"
lon_11.4857212_lat_51.7803271,way/443970642,Hasenwinkel,"[11.48205342837533, 51.77692869363525, 11.489298309807324, 51.7814225437268]"
lon_10.8830203_lat_51.8398105,way/443970643,Regensteinblick,"[10.881005736637697, 51.83736389196571, 10.88826014579541, 51.8418576964113]"
lon_11.5855061_lat_52.0606307,way/444633876,Sülzegrund,"[11.583405899512108, 52.0589988668954, 11.59069605304667, 52.06349250169383]"
lon_11.5846515_lat_52.0604543,way/444633877,Sülzegrund,"[11.584125885822859, 52.057043365576945, 11.591415928154147, 52.06153700089927]"
lon_9.5894869_lat_54.4432916,way/479915950,Lottorf,"[9.587493366454634, 54.44297648034089, 9.595200448960426, 54.44746830806351]"
lon_7.2544308_lat_52.9241632,way/514002514,Walchum-Ost,"[7.253782162873779, 52.92161785520599, 7.261216364870466, 52.92611083105544]"
lon_7.1723831_lat_52.7953751,way/514002527,Rastplatz Hebel,"[7.171137027742863, 52.79528361219519, 7.178549716691143, 52.79977668401139]"
lon_9.7581285_lat_52.5049195,way/585552112,Rastplatz Bissendorf Nord,"[9.755018291095004, 52.50488911609935, 9.762381899384403, 52.50938241002769]"
lon_8.324524_lat_50.6450633,way/608222580,Rastplatz Ebersbach,"[8.31937382706255, 50.64257502416733, 8.326442665642565, 50.64706975129913]"
lon_8.5415272_lat_49.8947103,way/685351861,Büttelborn Nord,"[8.537829984909116, 49.89341673705353, 8.544788642098535, 49.89791204745082]"
lon_8.2028282_lat_52.2243557,way/704772839,Rottkamp-Nord,"[8.197682298739691, 52.221642819703966, 8.204999418619158, 52.22613632816572]"
lon_8.1997168_lat_52.2249111,way/704772840,Rottkamp Süd,"[8.1994165168827, 52.22219760064569, 8.206733454469415, 52.22669110995678]"
lon_13.7994366_lat_52.4570641,way/736652625,Kalkberge,"[13.794999788844624, 52.4536467895956, 13.80235509209901, 52.4581401215503]"
lon_7.1913537_lat_52.6347607,way/746128010,Heseper Moor Ost,"[7.191156777028914, 52.633870374043745, 7.198542122145686, 52.6383635690545]"
lon_7.1908361_lat_52.6363967,way/746128011,Heseper Moor West,"[7.184063559211709, 52.632496453003746, 7.191448914406613, 52.63698964796883]"
lon_13.5622182_lat_52.3790797,way/769777309,,"[13.555549124946555, 52.37479933261209, 13.562891431565404, 52.379292724334896]"
lon_13.5617962_lat_52.376454,way/769777310,,"[13.557592582480805, 52.37589372281439, 13.564934940439755, 52.380387114300476]"
lon_8.2881044_lat_50.7075757,way/816288567,Rastplatz Burger Hain,"[8.28579269193548, 50.70682171508992, 8.292871125595553, 50.7113163927195]"
lon_9.8191407_lat_52.4272417,way/816723677,Varrelheide,"[9.818134421757676, 52.425027654695135, 9.825484850794563, 52.42952100902777]"
lon_7.2526746_lat_52.9419091,way/839676611,Walchum West,"[7.251535129709354, 52.937468339599775, 7.25897240690433, 52.94196130179945]"
lon_13.5128574_lat_52.6185225,way/850411572,Kappgraben Nord,"[13.509189742509033, 52.61645487520204, 13.516572336114567, 52.62094808268559]"
lon_13.5093849_lat_52.6184258,way/850506985,Kappgraben Süd,"[13.50808712900541, 52.61601954899898, 13.51546955760191, 52.62051275723096]"
lon_7.2459984_lat_52.3914582,way/1024211059,Rastplatz Bergler Feld Ost,"[7.2445033035812365, 52.3883790054833, 7.251847709246885, 52.39287238753157]"
lon_7.2465958_lat_52.3950579,way/1024211060,Rastplatz Bergler Feld West,"[7.240126724337481, 52.39160659290077, 7.247471700138208, 52.396099972322716]"
