id_rest,id_OSM_rest,name,bbox
lon_11.997727_lat_51.2571166,way/162058211,Saaletal,"[11.994361979528097, 51.2530504791528, 12.002956698501208, 51.25844358346529]"
lon_9.3696302_lat_51.2844243,way/162391440,Hirzstein,"[9.366675802808619, 51.280317948145466, 9.375275881272891, 51.285711025850944]"
lon_9.2831674_lat_51.3432322,way/162394515,Rohrberg,"[9.280387387958921, 51.340532239832044, 9.288998160926017, 51.34592526459409]"
lon_9.6038325_lat_51.3476078,way/163685727,Staufenberg,"[9.603566208035124, 51.34678849733872, 9.61217827850862, 51.352181515690894]"
lon_9.0331918_lat_51.4840659,way/163687169,Am Quast,"[9.027056853684789, 51.48107858368157, 9.035694417529674, 51.48647147668069]"
lon_10.1268892_lat_51.8569148,way/167989093,Schwalenberg-Ost,"[10.122273343754511, 51.852381200173205, 10.130981843091753, 51.85777375017608]"
lon_10.1230601_lat_51.8561527,way/167989110,Schwalenberg-West,"[10.116380940923287, 51.85416627485121, 10.125089465172403, 51.85955882473512]"
lon_10.9814416_lat_54.3623714,way/170362889,Ostseeblick,"[10.978568532943603, 54.3577702690306, 10.987798539775516, 54.363160536201725]"
lon_10.9810513_lat_54.3627005,way/170362890,Ostseeblick,"[10.977354583466962, 54.359070454692535, 10.986584742098774, 54.36446072125517]"
lon_14.2175841_lat_52.3368637,way/179313070,Kersdorfer See,"[14.217147228623796, 52.33271676976534, 14.225949772003018, 52.33810887780955]"
lon_14.222133_lat_52.3378744,way/179313071,Berliner Urstromtal,"[14.21948098908957, 52.33567871318562, 14.228283727916805, 52.34107082032613]"
lon_11.922428_lat_51.3459818,way/187165798,Geiseltal,"[11.916046036117407, 51.34351534070318, 11.924657717096231, 51.34890836097921]"
lon_11.9228882_lat_51.346147,way/187165800,Geiseltal,"[11.917992649525031, 51.344275141422266, 11.92660438762382, 51.34966816141613]"
lon_11.8732122_lat_50.759018,way/187418126,Rodaborn,"[11.867768637093562, 50.754602592957085, 11.87627173527483, 50.759996159963094]"
lon_9.2955316_lat_53.2000997,way/190348395,Glindbusch,"[9.294590169111705, 53.198509693993074, 9.303568930827405, 53.20390101113272]"
lon_9.653454_lat_53.342582,way/191147682,Stellheide,"[9.650369484594563, 53.34159598400043, 9.659378016955788, 53.346987172104356]"
lon_9.6697291_lat_53.3475987,way/191150597,Stellheide,"[9.669310014581567, 53.346398986865125, 9.678319629924397, 53.351790170299246]"
lon_8.6078461_lat_49.9067102,way/201322817,Täubcheshöhle,"[8.604474491068345, 49.906163410312175, 8.612827144227698, 49.91155777051943]"
